50000 50000
1 2393 6501
1 19106 12157
1 23631 24452
2 1942 13556
1 29066 43978
1 27005 15617
1 56 20824
2 19363 16498
2 20138 12167
2 21111 14278
2 13573 25512
1 30562 45648
2 23718 44756
1 31979 3592
2 30942 30387
1 8893 32343
1 31515 12192
1 1178 11789
1 3183 3513
1 32938 21697
1 10646 36568
1 31440 37158
1 2985 6518
2 33113 32032
1 14438 40636
1 7158 15990
1 9301 5998
2 12822 33041
1 10403 45983
2 25051 46592
1 15713 41067
1 7709 15506
2 9385 38549
2 24148 11929
1 14585 47790
2 6215 15714
2 10684 195
2 4983 44069
2 14722 7200
1 19774 43611
1 31156 7505
1 15889 44585
1 31102 24618
2 16374 33706
1 6134 30643
2 27936 9662
1 20349 37675
1 8356 13097
2 9492 33827
1 16309 33855
1 28989 23515
2 9104 31857
2 5850 18919
1 31250 43109
1 16189 487
1 10386 35665
1 1090 46759
1 872 38777
2 4559 31904
1 33038 44670
2 15450 30822
2 10712 18671
2 15915 30986
2 9517 21222
2 31635 10591
1 18324 20187
2 30085 16921
2 31980 35484
1 20017 43536
1 19297 6150
2 26163 46273
1 21573 21517
2 8694 25042
1 18163 12858
2 15736 36042
2 9392 40057
1 19519 839
2 6809 48179
1 18253 6201
1 29653 43562
2 22673 43952
1 1404 26031
1 17458 43339
2 26240 40384
1 19223 38898
1 26375 19659
2 30938 35308
1 27005 42969
1 13617 29756
2 15033 32348
1 13432 33489
1 5290 44024
2 65 6327
1 3191 33741
1 5909 40588
1 16738 39406
1 7958 1215
1 281 48818
1 11466 23214
1 7025 28358
1 11281 15076
1 1428 46696
2 15491 15317
2 19115 23030
2 13412 28012
1 10042 4522
1 20459 36202
2 11302 27619
1 15799 34047
1 8133 6996
2 23335 35501
1 33064 7612
1 10650 11064
1 8590 31324
1 32750 7024
1 2885 12239
1 10661 4186
2 9478 33370
1 7935 28830
1 21170 15982
1 5794 42853
2 25404 49683
1 8255 5576
1 29375 2449
2 26597 26036
1 6032 48133
1 16434 45388
1 26395 14966
2 3582 43636
1 650 31770
1 27660 35561
2 27658 31279
1 29608 40530
2 26691 41036
1 381 31946
1 18573 36210
1 23631 21889
1 6048 8084
1 27577 26326
1 5690 3984
1 26452 3043
2 29257 47765
2 14543 42616
1 32142 14559
1 518 21612
2 3362 2446
1 9342 309
1 13788 20342
1 21972 40362
1 24753 17470
1 22218 33164
1 25091 11764
2 29418 8651
2 4381 15413
2 28572 9858
2 4437 47746
2 32852 46477
2 29726 270
1 31756 11079
1 33085 21223
1 11737 4224
1 15085 12106
2 26960 10941
2 26755 33168
2 20050 26803
2 29707 27734
1 12454 45849
1 1441 28420
1 16915 12476
2 9595 10484
1 21792 20613
1 8169 28755
1 19416 38303
2 16877 38016
1 9213 22858
1 318 24151
2 16833 9368
1 12986 15660
1 18872 29664
1 13129 11212
1 26012 37712
1 3234 20114
2 4145 38226
1 3627 8666
1 16164 33796
1 19900 18413
2 22579 20086
1 9548 31946
1 23895 389
1 3886 4467
1 6965 23736
1 29587 17572
2 22089 32845
1 20565 9849
1 11077 32795
2 19092 28285
1 9271 34402
1 23620 13385
1 28906 31308
2 25422 34351
2 15447 9560
1 32821 17601
1 27043 22130
1 19715 3315
2 20778 27663
1 3000 2884
1 1212 47283
1 9065 242
1 6752 2293
2 25414 31846
1 30391 17896
2 32385 12860
2 11257 33419
2 833 47947
1 29420 2880
1 4551 19521
1 32109 42581
2 31298 23621
1 19237 48911
1 18548 20157
1 26010 29114
1 31519 46479
1 1754 33404
2 24853 10847
2 13594 24869
2 7843 20607
2 10199 39321
2 5556 7576
2 11063 39708
2 25181 4476
2 29073 37523
2 25666 18089
1 18747 22707
1 22268 8589
1 13383 3676
2 13200 44626
1 28050 13835
1 7955 25991
2 94 5434
1 5810 39758
2 23135 12887
1 14832 16740
1 27268 40492
2 27378 14330
1 12223 43036
1 29663 49665
2 31425 23992
1 6557 12446
1 31708 10395
2 32261 37408
2 21617 32331
2 23617 23121
2 6513 43207
2 3227 20353
1 27314 47268
1 13844 20419
1 21581 22188
1 24725 27722
1 20739 46770
1 25489 20772
1 7447 31798
2 27199 24988
2 9738 32922
1 31589 9121
1 31900 40618
1 4647 49835
1 18254 7387
2 8716 45008
1 5547 48560
2 19886 6356
1 2513 34677
1 25005 45943
1 19965 1297
1 14506 34202
2 193 35502
1 20169 22018
1 18 48154
1 18044 44801
1 7446 38318
1 13836 32341
1 29310 43658
2 22455 49026
1 28043 28538
1 10391 6072
2 26873 21421
2 18872 23822
1 31503 44817
2 2563 31531
1 21869 34476
2 31013 21068
1 13947 40269
1 8605 5840
2 24737 24932
2 31966 47336
2 12235 22741
2 2967 10635
1 1642 42249
1 25307 41041
2 23382 9692
2 21199 27959
1 26463 37854
1 3456 5703
2 12414 29388
1 25807 11317
1 2847 2515
1 7602 40118
2 28568 47240
1 14805 4864
1 4311 7410
1 7372 44299
1 28297 5377
2 26581 31754
1 31014 32100
1 14711 1531
1 25096 29539
1 15866 17063
1 29632 48231
2 11166 19251
1 27563 46015
1 3522 9229
1 659 49549
1 23885 29379
1 2729 49312
2 5489 44286
1 25586 22887
1 33329 15921
1 2522 29565
2 20701 16286
1 18780 39743
1 15458 31236
1 31646 5008
2 5500 274
2 2833 19634
2 24142 17353
2 21044 12571
1 740 20780
2 19372 2228
1 30698 9648
1 14928 9029
2 10804 40445
1 5360 20215
1 13906 45595
2 18784 40349
1 11604 19671
1 17413 38810
1 23133 12849
1 21555 16531
1 18933 19276
1 7999 32970
1 21606 28961
2 26187 23936
1 21350 26383
2 15491 13900
1 6667 24749
2 2401 14894
1 7418 25230
2 25158 12702
2 30905 33990
2 13688 28189
2 5519 25083
2 19839 32500
1 23234 41062
1 25519 37508
1 25993 8904
1 20193 22121
1 30919 42790
1 8173 1052
2 12234 28279
1 30541 37117
2 15461 28846
2 26642 42519
1 29585 17233
1 11322 20833
2 11395 24666
1 8207 19467
1 11367 28276
1 17115 40262
2 28757 28132
1 23760 17637
2 10818 47913
1 19491 22548
2 8756 47802
2 15631 10025
1 11711 28220
1 11539 26467
1 4978 1004
1 12153 43036
2 30334 31894
1 18785 37872
2 29150 36297
2 15476 2037
1 4484 30276
1 1502 30941
2 11013 20555
2 28376 10310
1 29404 18201
1 2127 32278
1 25357 31139
2 27811 26304
2 19087 46658
2 23645 42080
1 26975 4204
2 9240 15067
1 21339 46306
2 20033 9563
2 10658 14635
2 22544 18067
1 18208 44221
1 31155 19656
2 4323 20482
1 16972 49082
1 1023 46951
1 19754 14794
2 244 21170
2 6054 42086
1 27475 24679
1 1406 12986
2 10231 46624
2 7767 24126
2 4178 14411
1 13576 9606
2 7675 23281
1 21556 21139
2 952 23607
1 32662 34525
1 12421 6223
1 12761 16796
1 23267 43635
2 15719 34600
1 10893 43579
1 3615 24668
1 13471 5946
1 17741 37379
1 14296 45106
2 24661 37765
1 29716 27542
1 25362 10830
1 3280 17579
1 28089 3927
1 111 45781
1 26397 49808
1 2179 31539
2 30457 46700
1 24986 14971
1 28894 24035
1 10429 22984
2 26082 15302
1 19309 22746
1 14658 44550
1 12496 27835
2 18806 14475
2 24754 28186
1 16365 28498
1 21289 13780
2 29578 8959
2 24400 6307
1 28658 3610
2 14877 48160
1 9914 1148
1 22980 11059
2 25805 27201
1 17002 6561
1 21588 15948
1 12917 2356
1 27900 16207
1 30081 31504
2 30661 35327
1 15146 35619
2 25671 40844
1 9637 18404
1 12279 40900
2 3194 18292
1 1610 48416
2 28874 27771
1 27169 1492
2 29225 29084
2 6441 43783
1 21984 2624
2 12765 17267
1 20610 26294
1 24028 4016
1 14570 38552
1 19955 49198
1 2313 44769
1 31393 37431
1 23536 21421
2 1871 13481
1 12531 41323
1 5791 28634
1 23621 7150
2 27152 6520
2 8664 17282
1 7445 49642
2 20834 36448
1 8128 42792
1 3581 10610
1 29423 44587
1 15964 11370
1 28425 35996
1 1379 1839
2 20117 10767
1 9945 31904
1 24626 20196
1 2892 42733
1 13882 48682
2 23255 46574
1 20736 37269
1 5945 38363
1 31265 8281
2 31856 19704
1 29072 7509
2 24696 8620
1 8015 32818
1 17778 36406
1 3948 17385
2 22029 24840
2 13049 2128
1 5531 37408
1 6474 24048
1 821 10593
1 5073 34586
1 26606 1047
2 24530 17883
1 2859 14484
1 31855 22558
2 32210 15099
1 3757 22618
1 25324 30085
1 17041 44433
2 16639 591
1 5168 22891
1 23909 22685
1 23085 42862
1 20019 27769
2 23118 19199
1 1378 38485
1 9448 30224
1 18690 16714
1 8388 2781
1 12510 16320
2 29232 32119
2 29094 16804
1 13894 5143
2 25827 12850
2 4563 20469
1 10767 14649
1 10628 11587
2 21373 15394
2 22227 29758
1 26235 28368
1 9085 37339
1 7939 32462
2 6530 48260
1 29326 45357
2 29796 37426
1 7381 21793
1 29499 14494
2 15197 10973
2 30848 29234
2 26989 40757
2 23375 25164
1 30505 38573
1 28930 29558
1 3241 15929
1 30237 15301
1 26984 37035
2 15330 39679
1 31702 27452
2 22221 18849
2 5595 49573
2 29603 9219
2 12820 34623
1 36 21182
1 16866 4153
2 13097 14082
2 20733 16442
2 20070 36539
2 15621 22076
1 14524 5197
1 25868 9099
1 7657 41170
1 10288 19935
2 16350 15586
2 19436 25580
1 28761 42162
1 29623 22
2 5262 26975
2 20318 17563
1 27897 20571
2 25277 40805
1 25329 9453
1 24392 29254
1 3548 20860
2 16594 18645
1 32595 40046
1 1111 1727
1 11363 9593
2 19055 46855
1 12379 28733
1 5300 21346
2 26096 29341
1 21674 49633
2 3184 20237
2 17967 4560
1 6183 16832
1 30120 23643
1 30267 39197
1 18873 4559
1 7661 13916
1 9404 39638
2 24965 12759
1 27696 10577
2 28321 48348
1 17069 24687
1 12386 21544
2 32693 29468
1 26084 27478
1 7292 18872
1 15465 24353
1 6410 27833
1 7305 2873
2 14827 28618
2 24524 48367
1 18250 47064
1 18145 34642
1 20746 12107
2 728 24586
1 26235 41598
2 4189 43545
2 9877 838
1 16697 6635
1 28359 37262
2 9766 40898
1 28043 11246
1 16003 2886
2 3923 36169
1 20799 32057
2 20519 26582
2 17813 48609
1 10292 632
2 25479 29739
1 5900 3307
1 5616 10874
2 5379 23471
2 3737 33755
2 9059 38567
1 5945 2616
1 28981 18101
2 119 46044
2 24817 5436
1 8924 13012
2 33145 2364
1 22467 49481
1 25354 31066
1 1692 2388
1 3286 16493
1 11178 16176
1 24742 20524
